open,high,low,close,tick_volume,year,month,day
387.36,392.46,386,386.4,15296,2016,2,5
378,382,375.5,376.02,13525,2016,2,8
376.02,380,374.09,378.5,14402,2016,2,9
378.3,389.18,376.99,385.16,14742,2016,2,10
385,386.96,380.1,381.97,14575,2016,2,11
381.97,391.01,381.83,386.23,16723,2016,2,12
402.8,409.93,397.3,397.72,14505,2016,2,15
397.72,409.49,397.61,405.12,15545,2016,2,16
405.12,421.28,404.05,419.26,16018,2016,2,17
418.97,424.99,413.46,417.9,16302,2016,2,18
417.9,421.21,414.84,418.53,15649,2016,2,19
435.59,438.79,428.15,436.63,15546,2016,2,22
436.64,438.01,413.59,420.89,16872,2016,2,23
420.88,425.1,413.4,422.71,14829,2016,2,24
422.74,427.17,418.59,421.9,14584,2016,2,25
421.94,426.99,419.22,425.35,15740,2016,2,26
431.55,437.76,429,433.81,15006,2016,2,29
433.81,437.47,430.01,433.19,15600,2016,3,1
433.19,436.13,430,430.05,15539,2016,3,2
430.01,431.01,418.54,422,16537,2016,3,3
419.99,425.79,410.1,411.61,15895,2016,3,4
410.57,417.17,404.81,413.99,15683,2016,3,7
414,416,408.13,413.15,7018,2016,3,8
